s.no,Code,Station,Latitude,Longitude
1,BPL,Bhopal Junction,23.2664845,77.4130845
2,GWL,Gwalior Junction,26.2162438,78.1826037
3,UJN,Ujjain Junction,23.1795347,75.781954
4,HBJ,Habibganj,23.2208832,77.4393691
5,INDB,Indore Junction,22.7170064,75.8684722
6,ET,Itarsi Junction,22.6085628,77.76707
7,STA,Satna Junction,24.5677309,80.8286814
8,BINA,Bina Junction,24.1712328,78.1851809
9,KNW,Khandwa Junction,21.8237021,76.3532291
10,KTE,Katni Junction,23.8347633,80.4006981
11,SGO,Saugor,23.8479244,78.7432224
12,MYR,Maihar,24.2567489,80.7637341
13,MRA,Morena,26.5013204,78.0028617
14,REWA,Rewa,24.5378101,81.251495
15,NAD,Nagda Junction,23.4560185,75.4123199
16,PPI,Pipariya,22.7543115,78.3558763
17,BHS,Vidisha,23.5225788,77.8148001
18,BZU,Betul,21.8971699,77.9061703
19,NU,Narsinghpur,22.9431778,79.2142889
20,KMZ,Katni Murwara,23.8313686,80.3916466
21,DMO,Damoh,23.8360587,79.4321389
22,DWX,Dewas Junction,22.9780228,76.0519637
23,HBD,Hoshangabad,22.7529598,77.7173261
24,NDPM,Narmadapuram,22.7529598,77.7173261
25,SDL,Shahdol,23.2859237,81.3648409
26,GUNA,Guna Junction,24.6409015,77.3142908
27,BAU,Burhanpur,21.334818,76.1998332
28,APR,Anuppur Junction,23.1178762,81.6964695
29,BAQ,Ganj Basoda,23.8459129,77.9446199
30,DBA,Dabra,25.8818881,78.3305079
31,DAA,Datia,25.6406595,78.4559832
32,UMR,Umaria,23.5230597,80.8226567
33,NMH,Nimach,24.4624649,74.8501137
34,SVPI,Shivpuri,25.4380842,77.6381522
35,SCI,Sanchi,23.4876339,77.7360676
36,SGRL,Singrauli,24.2048552,82.642887
37,KURJ,Khajuraho,24.7963896,79.8892878
38,RTM,Ratlam Junction,23.340708,75.0509934
39,HD,Harda,22.3390401,77.1015504
40,SJP,Shujalpur,23.3805757,76.7232104
41,PAR,Pandhurna,21.5898263,78.5258059
42,MKC,Maksi Junction,23.252069,76.1584869
43,BWM,Bhawani Mandi,24.4192876,75.8302837
44,GAR,Gadarwara,22.9003732,78.7926881
45,SHRN,Sant Hirdaram Nagar,23.2738062,77.335964
46,RKMP,Rani Kamlapati,23.2208832,77.4393691
47,GDYA,Ghoradongri,22.1256421,78.0021998
48,SEH,Sehore,23.2147418,77.0782892
49,MGN,Meghnagar,22.9076618,74.5398577
50,SGZ,Shamgarh,24.1920321,75.6429568
51,RTA,Ruthiyai Junction,24.5346321,77.1798921
52,VMA,Vikramgarh Alot,23.7647133,75.5385285
53,MDS,Mandsor,24.0752876,75.0762986
54,SHR,Sihora Road,23.4669937,80.1098326
55,MML,Madan Mahal,23.160281,79.9207952
56,ASKN,Ashok Nagar,13.0354768,80.2111075
57,SRID,Shridham,23.0345654,79.4847835
58,BRRG,Biyavra Rajgarh,23.936849,76.9083017
59,SFY,Shajapur,23.4253101,76.2978867
60,KYE,Khurai,24.0521941,78.3309666
61,KY,Kareli,22.9322525,79.0666841
62,KUH,Khachrod,23.4425475,75.2863777
63,MTY,Multai,21.7828449,78.263508
64,PHA,Patharia,23.9056806,79.1923956
65,MNV,Mungaoli,24.4023238,78.1118902
66,MABA,Mandi Bamora,24.0534758,78.0823252
67,SVA,Suwasra,24.0700426,75.6488577
68,BRS,Birsinghpur,23.3668093,81.0434772
69,BUH,Burhar,23.2126936,81.5285687
70,KKN,Khirkiya,22.1659093,76.8590441
71,KPP,Kalapipal,23.3330597,76.8350124
72,TBN,Timarni,22.3762705,77.2301922
73,SGP,Sohagpur,22.6937948,78.1948721
74,NPNR,Nepanagar,21.4641072,76.3968819
75,CBK,Chachaura Binaganj,24.177141,77.0159989
76,CAER,Chhanera,21.9636413,76.7072779
77,HPP,Harpalpur,25.2903048,79.3336402
78,KTES,Katni South,23.8165966,80.4009324
79,AKD,Akodia,23.3786554,76.5993567
80,JTW,Jaitwar,24.7406635,80.863688
81,BPF,Banapura,22.470483,77.4816889
82,PFR,Pachor Road,23.7287586,76.7417314
83,JAO,Jaora,23.6291483,75.1159444
84,AAL,Amlai,23.1730884,81.5928891
85,JKE,Jukehi,23.9858153,80.4324882
86,UHR,Unchhera,24.380846,80.7942136
87,BNU,Bandakpur,23.8480944,79.5754335
88,TAN,Tarana Road,23.2641786,76.0666056
89,MEP,Mahidpur Road,23.567646,75.5005733
90,BEHR,Beohari,24.0005338,81.3800132
91,KSH,Kali Sindh,23.344498,76.4293771
92,BMI,Bamnia,23.0949783,74.7585421
93,JTI,Jaithari,23.0449154,81.7967319
94,KLRS,Kolaras,25.2256197,77.5910469
95,BNG,Barnagar,23.0603045,75.3768974
96,CHD,Chandia Road,23.6460426,80.7014036
97,DUA,Dhaura,24.4504812,78.3219214
98,GOH,Garot,24.278783,75.6844593
99,SBD,Sleemanabad Road,23.6146187,80.2853687
100,GSPR,Gosalpur,23.3817347,80.05918
101,DOE,Deori,23.2983492,80.0094726
102,SFW,Sarangpur,23.5811517,76.4877294
103,NRZB,Nowrozabad,23.3952766,80.979495
104,BRGW,Bargawan,24.1972261,82.4563944
105,TLV,Talvadiya Junction,21.927809,76.4446336
106,MOJ,Mohana,25.8973283,77.7631443
107,MKRN,Makronia,23.866567,78.8092275
108,BDWS,Badarwas,24.9835922,77.5622778
109,PIP,Piplia,24.2036228,75.007569
110,KHBJ,Khanna Banjari,23.8967263,80.8225429
111,KHRJ,Kumbhraj,24.3626048,77.0789943
112,MWJ,Marwasgram,24.0970789,81.7756336
113,GAJ,Ganeshganj,23.8954962,79.0732516
114,BKH,Bankhedi,22.7747128,78.533444
115,MJG,Majhagawan,24.9138307,80.8118892
116,SCKR,Salichauka Road,22.8342766,78.6771086
117,BHTN,Bhitoni,23.1422323,79.6732636
118,UDR,Amdara,24.0994804,80.577854
119,KKI,Karkeli,23.4607072,80.9210873
120,KAH,Kalhar,23.9769764,78.0575201
121,NIQ,Nigaura,22.9886493,81.8674511
122,CLF,Chhulha,23.1026951,81.7407677
123,KRLR,Karaila Road Junction,24.2702222,82.7252006
124,SYA,Salaia,24.2089507,86.2568943
125,VKR,Venkatnagar,22.9236,81.8722147
126,BWR,Barwa Sagar,25.352042,78.7325804
127,THDR,Thandla Road,22.963066,74.5893252
128,PRB,Parbati,23.2804838,76.9641075
129,MUGA,Mahugarha,24.6284644,77.2425304
130,MLAR,Malanpur,26.3920138,78.2607273
131,REI,Rithi,23.9046544,80.1405496
132,HRB,Harri,22.8273099,81.882391
133,NOI,Nariaoli,23.8960337,78.6045358
134,SMT,Salamatpur,23.460948,77.6724853
135,SONI,Soni,26.5262191,78.5522864
136,RPD,Rupaund,23.7303696,80.5764824
137,SNGP,Singhpur,23.2542449,81.4079779
138,BGHI,Baghai Road,24.5508023,81.0516679
139,DDCE,Dundi,23.5575248,80.2173229
140,BQQ,Bakhleta,23.8754273,80.0643065
141,SAC,Sanichara,26.3636637,78.1984721
142,SMRR,Sumreri,24.0079176,78.3990955
143,BJRI,Bijuri,23.2512046,82.1196369
144,DLD,Dalauda,23.9488996,75.1059228
145,GW,Girwar,23.8328384,78.9717479
146,GOA,Gohad Road,26.4680914,78.4085547
147,ISH,Isarwara,23.9268136,78.5484064
148,LDA,Lidhora Khurd,23.8521819,78.8761182
149,BET,Bareth,23.9144447,77.9998463
150,PGA,Pagara,24.6561739,77.4437081
151,KXB,Kanjiya,24.3516519,78.1645692
152,KTMA,Kotma,23.2026932,81.9791065
153,BZY,Basai,27.1578436,78.0507366
154,GVB,Guneru Bamori,24.4620946,78.0630059
155,GEA,Ghatera,23.8297833,79.673612
156,HDU,Hardua,23.9138491,80.2871618
157,ORR,Orr,24.5228933,77.833791
158,JLW,Jhalwara,23.7724728,80.4742176
159,ANA,Aslana,23.8600776,79.3195701
160,DOD,Dhodhar,23.7709692,75.1035962
161,MLG,Malhargarh,24.266559,74.9736878
162,MINA,Miyana Junction,23.1034602,70.7547915
163,SAO,Sagoni,23.8114468,79.811376
164,BIX,Bhind,26.5884918,78.7771882
165,SOR,Sonagir,25.7298086,78.4092119
166,BLAX,Barlai,22.8940168,75.9621005
167,NRGR,Naranjipur,23.046644,76.0088735
168,MGG,Mangliyagaon,22.8105511,75.9149289
169,BRGT,Bheraghat,23.1697783,79.7977655
170,BMR,Bikrampur,23.0824143,79.5867373
171,SQL,Sontalai,22.6130908,77.9500508
172,GMD,Guramkhedi,22.6820308,78.1006032
173,GRO,Gurra,22.6318952,77.8692841
174,NWR,Niwar,23.719549,80.3697679
175,BELD,Belkhera,22.9825584,79.3017398
176,ADTL,Adhartal,23.2279581,79.9729185
177,BNE,Bohani,22.9131653,78.9155715
178,SNRR,Sansarpur,23.6600044,80.3306014
179,TRWT,Taravata,24.7369982,77.379208
180,JBX,Jabri,23.2936408,76.8904607
181,CHDX,Chhada,23.2325523,81.4797056
182,BOD,Bangrod,23.3971863,75.121759
183,BAO,Banmor,26.3554714,78.0986027
184,PNHR,Panihar,26.1049627,78.0230752
